Variable,Importancia
cat__barrio_SANTANDER SUR,0.00046017606
cat__barrio_VERBENAL SAN ANTONIO,0.00045492477
cat__upz_CARVAJAL,0.0004517496
cat__barrio_SANTA FE,0.0004488473
cat__barrio_ONCE DE NOVIEMBRE,0.00044446645
cat__barrio_BELEN FONTIBON,0.0004439259
cat__barrio_SAN BERNARDO,0.0004376651
cat__barrio_SAN ANTONIO NORTE,0.00043400342
cat__barrio_BOLIVIA ORIENTAL,0.00043258897
cat__barrio_RAFAEL NUNEZ,0.00043045403
cat__barrio_SAN BERNARDINO XVI,0.00041342262
cat__barrio_RINCON DE LA VALVANERA,0.00041067452
cat__barrio_COMUNEROS,0.00040974852
cat__upz_ENGATIVA,0.00040748843
cat__barrio_SAN JOSE DE FONTIBON,0.00040353017
cat__barrio_PUENTE GRANDE,0.00040180367
cat__barrio_ORTEZAL,0.00039691984
cat__barrio_SAN DIEGO,0.00039624044
cat__barrio_SAN JOSE V SECTOR,0.0003945308
cat__barrio_LA ESPERANZA SUR,0.00039404616
cat__barrio_CENTRO USME,0.000392686
cat__barrio_ESTRELLA DEL NORTE,0.0003904323
cat__barrio_CIUDAD UNIVERSITARIA,0.00039036103
cat__barrio_VILLA LUZ,0.00038379373
cat__barrio_EL ROCIO NORTE,0.00038318872
cat__barrio_ALAMOS SUR INDUSTRIAL,0.00038293534
cat__barrio_EL VERGEL SUR,0.00038002868
cat__barrio_REMANSO SUR,0.00037619958
cat__barrio_EL PENON DEL CORTIJO,0.00037334437
cat__barrio_LA ESTANZUELA,0.00036662686
cat__barrio_SAN ANTONIO SUR,0.00036606487
cat__barrio_LA CABANA FONTIBON,0.0003568794
cat__barrio_ESCUELA DE INFANTERIA,0.0003524167
cat__barrio_LA CITA,0.000343434
cat__barrio_LOS NARANJOS,0.0003429725
cat__barrio_LA FAENA,0.0003380913
cat__barrio_QUESADA,0.0003377538
cat__barrio_LOS EJIDOS,0.00033148043
cat__barrio_JOSE JOAQUIN VARGAS,0.00032910446
cat__barrio_GRAN BRITALIA I,0.00032727717
cat__upz_TINTAL NORTE,0.00032382246
cat__barrio_SAN MARTIN CENTRO,0.00032151834
cat__barrio_MUZU,0.0003183187
cat__barrio_SAN FERNANDO OCCIDENTAL,0.00031697925
cat__barrio_NORMANDIA,0.0003139173
cat__barrio_EL DORADO,0.00030924068
cat__barrio_EL ROSARIO,0.0003045042
cat__barrio_LA CAPUCHINA,0.00030295175
cat__barrio_PARQUE NACIONAL ORIENTAL,0.0003017807
cat__barrio_ATLANTA,0.0002992006
cat__barrio_BELALCAZAR,0.00029621436
cat__barrio_BRISAS ALDEA-FONTIBON,0.00029541712
cat__upz_GRAN BRITALIA,0.00029233718
cat__barrio_TEJAR,0.0002911984
cat__barrio_PIO XII,0.00028626883
cat__upz_SAN RAFAEL,0.00028323624
cat__barrio_SANTA BARBARA,0.00028245396
cat__barrio_EL VERGEL,0.00027617314
cat__barrio_GRAN AMERICA,0.00027414717
cat__barrio_ACEVEDO TEJADA,0.00026857355
cat__barrio_SANTA CECILIA NORTE,0.0002651883
cat__barrio_COLSEGUROS,0.00026141782
cat__barrio_TOSCANA,0.00025409562
cat__barrio_CASABLANCA SUBA NORTE,0.000252199
cat__barrio_GALERIAS,0.00024732095
cat__barrio_EL SALITRE,0.0002472476
cat__barrio_PROVIVIENDA CENTRAL,0.00024540565
cat__barrio_SANTA CATALINA,0.00024375113
cat__barrio_LA SOLEDAD,0.00024054095
cat__barrio_VENECIA OCCIDENTAL,0.00024024723
cat__barrio_CENTRO ENGATIVA II,0.00023893635
cat__barrio_SANTA  HELENITA,0.00023755478
cat__upz_JARDIN BOTANICO,0.00023690621
cat__barrio_LAS FERIAS,0.0002285316
cat__barrio_FRANCO,0.00022793376
cat__barrio_VILLAS DE GRANADA I,0.0002276138
cat__barrio_OSORIO DIEZ,0.00021302441
cat__barrio_CALVO SUR,0.0002033662
cat__barrio_SIERRA MORENA I,0.00019949708
cat__upz_LOS LIBERTADORES,0.00019433332
cat__barrio_LA PAZ BOSA,0.00018629686
cat__barrio_ZONA FRANCA,0.00015613622
cat__upz_SOSIEGO,0.00013506011
cat__upz_SAN BLAS,3.2575295e-05
cat__upz_QUIROGA,0.0
cat__barrio_TIMIZA,0.0
cat__barrio_TIMIZA B,0.0
cat__barrio_TORCA,0.0
cat__upz_LA CANDELARIA,0.0
cat__barrio_LA ESTANCIA,0.0
cat__barrio_TIBAQUE,0.0
cat__upz_LAS MARGARITAS,0.0
cat__barrio_USATAMA,0.0
cat__barrio_VELODROMO,0.0
cat__barrio_VENECIA,0.0
cat__upz_LA ACADEMIA,0.0
cat__barrio_VILLA ALSACIA,0.0
cat__barrio_VILLA AMALIA,0.0
cat__barrio_VILLA ANNY II,0.0
cat__barrio_VILLA MAYOR ORIENTAL,0.0
cat__barrio_VILLA MAYOR,0.0
cat__barrio_VILLAS DEL PROGRESO,0.0
cat__barrio_VOTO NACIONAL,0.0
cat__barrio_YOMASA,0.0
cat__barrio_LA ESPERANZA,0.0
