Variable,Importancia
cat__upz_CARVAJAL,0.0
cat__barrio_VELODROMO,0.0
cat__barrio_TIBABUYES,0.0
cat__barrio_TEUSAQUILLO,0.0
cat__barrio_TERMINAL DE TRANSPORTES,0.0
cat__barrio_TEJAR,0.0
cat__barrio_TECHO,0.0
cat__barrio_TAIRONA,0.0
cat__barrio_TABORA,0.0
cat__barrio_SUCRE,0.0
cat__barrio_SUBA URBAN0,0.0
cat__barrio_STA. C. PUENTE NORTE,0.0
cat__barrio_SOCIEGO,0.0
cat__barrio_SN. ANTONIO ENGATIVA,0.0
cat__barrio_VALLADOLID,0.0
cat__barrio_VENECIA OCCIDENTAL,0.0
cat__barrio_SIETE DE AGOSTO,0.0
cat__barrio_VILLA DEL MAR,0.0
cat__barrio_YOMASA,0.0
cat__barrio_VOTO NACIONAL,0.0
cat__barrio_VILLEMAR,0.0
cat__barrio_VILLAS DE GRANADA I,0.0
cat__barrio_VILLAS DE GRANADA,0.0
cat__barrio_VILLA MAYOR ORIENTAL,0.0
cat__barrio_VILLA MAYOR,0.0
cat__barrio_VILLA LUZ,0.0
cat__barrio_VILLA GLADYS,0.0
cat__barrio_VILLA ELISA,0.0
cat__barrio_VILLA DEL RIO,0.0
cat__barrio_VILLA DEL PRADO,0.0
cat__estado_USADO,0.0
cat__barrio_VERACRUZ,0.0
cat__barrio_VILLA ANNY II,0.0
cat__barrio_VILLA AMALIA,0.0
cat__upz_20 DE JULIO,0.0
cat__barrio_VILLA ALSACIA,0.0
cat__upz_AMERICAS,0.0
cat__barrio_VERSALLES FONTIBON,0.0
cat__barrio_VERONA,0.0
cat__barrio_VEREDA TIBABUYES,0.0
cat__barrio_VEREDA SUBA CERROS II,0.0
cat__upz_APOGEO,0.0
cat__barrio_VEREDA EL TINTAL,0.0
cat__upz_BOLIVIA,0.0
cat__barrio_SIMON BOLIVAR,0.0
cat__barrio_SIBERIA CENTRAL,0.0
cat__barrio_SAN BERNARDINO XXII,0.0
cat__barrio_SAN GABRIEL,0.0
cat__barrio_SAN PABLO JERICO,0.0
cat__upz_EL MOCHUELO,0.0
cat__barrio_SAN MARTIN CENTRO,0.0
cat__barrio_SAN LUIS,0.0
cat__barrio_SAN JOSE DEL PRADO,0.0
cat__upz_EL PORVENIR,0.0
cat__barrio_SAN JOSE DE FONTIBON,0.0
cat__barrio_SAN JOSE DE BAVARIA,0.0
cat__barrio_SAN JOAQUIN,0.0
cat__barrio_SAN ISIDRO,0.0
cat__barrio_SAN IGNACIO,0.0
cat__upz_EL PRADO,0.0
cat__barrio_SAN FRANCISCO,0.0
cat__barrio_SAN PEDRO DE LOS ROBLES,0.0
cat__barrio_SAN FERNANDO OCCIDENTAL,0.0
cat__barrio_SAN FERNANDO,0.0
cat__upz_QUIROGA,0.0
cat__barrio_SAN EUSEBIO,0.0
cat__barrio_SAN DIEGO-BOSA,0.0
cat__upz_EL TESORO,0.0
cat__barrio_SAN CRISTOBAL SUR,0.0
cat__barrio_SAN CRISTOBAL NORTE,0.0
cat__upz_ENGATIVA,0.0
cat__barrio_SAN CARLOS,0.0
cat__barrio_SAN BERNARDO,0.0
cat__barrio_SAN BERNARDINO XXV,0.0
cat__upz_DANUBIO,0.0
cat__barrio_SAN VICENTE FERRER,0.0
cat__barrio_SIBERIA,0.0
cat__barrio_SANTA INES,0.0
cat__barrio_SEMINARIO,0.0
cat__barrio_SANTANDER SUR,0.0
cat__barrio_SANTANDER,0.0
cat__barrio_SANTA VIVIANA,0.0
cat__barrio_SANTA TERESITA,0.0
cat__barrio_SANTA TERESA DE SUBA,0.0
cat__barrio_SANTA TERESA,0.0
cat__barrio_SANTA ROSA,0.0
cat__barrio_SANTA MONICA,0.0
cat__barrio_SANTA MARIA,0.0
cat__barrio_SANTA ISABEL SUR,0.0
cat__upz_CASA BLANCA SUBA,0.0
cat__upz_CASTILLA,0.0
cat__barrio_SAN VICTORINO,0.0
cat__barrio_SANTA FE BOSA,0.0
cat__upz_CHAPINERO,0.0
cat__barrio_SANTA CECILIA NORTE,0.0
cat__upz_CHICO LAGO,0.0
cat__barrio_SANTA CATALINA,0.0
cat__upz_CIUDAD JARDIN,0.0
cat__barrio_SANTA BARBARA ORIENTAL,0.0
cat__upz_CIUDAD MONTES,0.0
cat__upz_CIUDAD SALITRE ORIENTAL,0.0
cat__barrio_SANTA BARBARA,0.0
cat__upz_CIUDAD USME,0.0
cat__barrio_SANTA  HELENITA,0.0
cat__barrio_LOS ANGELES,0.0
cat__upz_SAN FRANCISCO,0.0
cat__upz_RESTREPO,0.0
cat__barrio_EL PENON DEL CORTIJO,0.0
cat__barrio_EL NOGAL,0.0
cat__barrio_ATENAS SUBA,0.0
cat__barrio_EL MADRIGAL,0.0
cat__barrio_EL LISTON,0.0
cat__barrio_EL LAUREL,0.0
cat__barrio_EL JAZMIN,0.0
cat__barrio_ATLANTA,0.0
cat__barrio_AURES,0.0
cat__barrio_AURES II,0.0
cat__barrio_EL DORADO INDUSTRIAL,0.0
cat__barrio_AUTOPISTA MUZU,0.0
cat__barrio_EL CORZO,0.0
cat__barrio_EL CORTIJO,0.0
cat__barrio_EL CHIRCAL SUR,0.0
cat__barrio_AUTOPISTA SUR,0.0
cat__barrio_EL CHARCO II,0.0
cat__barrio_EL CHARCO I,0.0
cat__barrio_EL CEREZO,0.0
cat__barrio_EL CEDRO ORIENTAL,0.0
cat__barrio_EL CARMEN FONTIBON,0.0
cat__barrio_EL BOSQUE,0.0
cat__barrio_BAQUERO,0.0
cat__barrio_EGIPTO,0.0
cat__barrio_BARCELONA,0.0
cat__barrio_DOCE DE OCTUBRE,0.0
cat__barrio_DINTALITO,0.0
cat__barrio_DINDALITO II,0.0
cat__barrio_EL PARAISO NORTE,0.0
cat__barrio_ATENAS,0.0
cat__barrio_ESTORIL,0.0
cat__barrio_ATAHUALPA,0.0
cat__barrio_ESCUELA MILITAR,0.0
cat__barrio_ESCUELA DE INFANTERIA,0.0
cat__barrio_ESCUELA DE CARABINEROS,0.0
cat__barrio_ENTRERIOS,0.0
cat__barrio_ENGATIVA ZONA URBANA,0.0
cat__barrio_ALFONSO LOPEZ,0.0
cat__barrio_ALQUERIA LA FRAGUA,0.0
cat__barrio_EL VIRREY,0.0
cat__barrio_ALQUERIA LA FRAGUA N.,0.0
cat__barrio_EL VERGEL SUR,0.0
cat__barrio_EL VERGEL OCCIDENTAL I,0.0
cat__barrio_EL VERGEL OCCIDENTAL,0.0
cat__barrio_ANTIGUO COUNTRY,0.0
cat__barrio_EL TINTAL CENTRAL,0.0
cat__barrio_ANTONIA SANTOS,0.0
cat__barrio_EL SALITRE,0.0
cat__barrio_EL ROSARIO,0.0
cat__barrio_EL RINCON NORTE,0.0
cat__barrio_EL RINCON,0.0
cat__barrio_ANTONIO JOSE DE SUCRE,0.0
cat__barrio_ARBORIZADORA ALTA II,0.0
cat__barrio_EL REFUGIO,0.0
cat__barrio_EL REDIL,0.0
cat__barrio_EL RECUERDO,0.0
cat__barrio_EL REAL,0.0
cat__barrio_EL PROGRESO,0.0
cat__barrio_EL PORTAL DEL BRASIL,0.0
cat__barrio_DELICIAS,0.0
cat__barrio_CUNDINAMARCA,0.0
cat__barrio_COUNTRY CLUB,0.0
cat__barrio_COSTA AZUL,0.0
cat__barrio_CENTRO ADMINISTRATIVO OCCIDENT,0.0
cat__barrio_CENTRAL DE MEZCLAS,0.0
cat__barrio_BOLIVIA,0.0
cat__barrio_CEDRO NARVAEZ,0.0
cat__barrio_BOLIVIA NORTE,0.0
cat__barrio_CATALUNA,0.0
cat__barrio_CATALINA II,0.0
cat__barrio_BOLIVIA ORIENTAL,0.0
cat__barrio_BONANZA,0.0
cat__barrio_BOSA,0.0
cat__barrio_CASABLANCA SUBA,0.0
cat__barrio_CASABLANCA,0.0
cat__barrio_CASA DE TEJA,0.0
cat__barrio_CARACOLI,0.0
cat__barrio_CAPELLANIA,0.0
cat__barrio_CAOBOS SALAZAR,0.0
cat__barrio_BOSQUE CALDERON,0.0
cat__barrio_BOSQUE DE PINOS,0.0
cat__barrio_CANADA O GUIRA,0.0
cat__barrio_CAMPIN OCCIDENTAL,0.0
cat__barrio_CAMPIN,0.0
cat__barrio_BUENOS AIRES,0.0
cat__barrio_BUENAVISTA,0.0
cat__barrio_BRITALIA,0.0
cat__barrio_BRISAS ALDEA-FONTIBON,0.0
