precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,latitud,longitud,estado,alarma,ascensor,conjunto_cerrado,gimnasio,piscina,zona_de_bbq,education_100,healthcare_100,retail_access_100,dining_and_entertainment_100,accommodation_100,parks_and_recreation_100,infrastructure_services_100,cultural_amenities_100,education_300,healthcare_300,retail_access_300,dining_and_entertainment_300,accommodation_300,parks_and_recreation_300,infrastructure_services_300,cultural_amenities_300,education_500,healthcare_500,retail_access_500,dining_and_entertainment_500,accommodation_500,parks_and_recreation_500,infrastructure_services_500,cultural_amenities_500,education_1000,healthcare_1000,retail_access_1000,dining_and_entertainment_1000,accommodation_1000,parks_and_recreation_1000,infrastructure_services_1000,cultural_amenities_1000,education_2000,healthcare_2000,retail_access_2000,dining_and_entertainment_2000,accommodation_2000,parks_and_recreation_2000,infrastructure_services_2000,cultural_amenities_2000,catastral,comercial,upz_calculada,barrio_calculado,localidad_calculada
2600000000.0,332.0,4.0,5.0,1250000.0,3.0,COUNTRY,6.0,MAS DE 20 ANOS,4.708,-74.042,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5,0,0,0,0,2,8,33,24,0,0,2,0,12,41,176,105,0,1,20,0,44,155,527,333,0,48,83,2,1149081.3333333333,1426273.0,NIZA,SAN JOSE DEL PRADO,SUBA
990000000.0,115.0,2.0,3.0,1111000.0,2.0,CHICO,6.0,ENTRE 5 Y 10 ANOS,4.6575985,-74.052734,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,4,2,0,3,5,24,10,0,5,15,2,9,28,99,40,0,14,46,2,39,146,440,246,1,40,149,4,2385248.0,3205301.4285714286,LOS CEDROS,CEDRO SALAZAR,USAQUEN
900000000.0,160.0,4.0,4.0,693000.0,1.0,CHAPINERO ALTO,4.0,MAS DE 20 ANOS,4.6491547,-74.06158,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,0,0,3,7,7,0,4,1,0,4,26,41,46,0,8,14,1,36,146,475,303,13,39,113,3,3080335.1666666665,3949654.8333333335,LA ALHAMBRA,BATAN,SUBA
210000000.0,39.0,2.0,1.0,138000.0,0.0,PUENTE ARANDA,3.0,ENTRE 0 Y 5 ANOS,4.6094265,-74.10826,USADO,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,1,2,4,1,0,10,23,40,4,4,20,3,4,27,76,158,12,18,65,5,23,143,401,512,48,42,173,12,4930363.666666667,6380591.166666667,EL REFUGIO,CHICO NORTE,CHAPINERO
1750000000.0,206.0,3.0,4.0,1200000.0,3.0,COUNTRY,6.0,ENTRE 10 Y 20 ANOS,4.711,-74.025,USADO,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,12,15,50,24,1,11,18,0,47,59,243,153,20,35,99,2,938967.0,1183508.0,MODELIA,FERROCAJA,FONTIBON
865000000.0,145.0,3.0,3.0,1200000.0,2.0,COUNTRY,5.0,ENTRE 10 Y 20 ANOS,4.70429,-74.02949,USADO,0,1,0,1,0,0,1,3,2,15,1,0,2,0,10,23,41,136,4,2,24,2,28,42,90,234,10,9,55,7,61,124,317,615,40,18,136,10,115,269,938,1316,88,47,300,31,1830589.5555555555,2222618.3333333335,CHAPINERO,SUCRE,CHAPINERO
179000000.0,47.0,3.0,1.0,107000.0,0.0,CORTIJO AUTOPISTA MEDELLIN,3.0,MAS DE 20 ANOS,4.7133026000000005,-74.10489,USADO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,1,2,0,1,1,1,3,6,1,4,18,67,137,12,18,51,7,26,124,363,493,47,44,168,17,2899658.5,3546476.0,EL REFUGIO,EL REFUGIO ORIENTAL,CHAPINERO
350000000.0,47.0,1.0,1.0,409000.0,1.0,COUNTRY,5.0,ENTRE 5 Y 10 ANOS,4.7168765,-74.047585,USADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,2,3,0,0,4,1,0,21,23,67,43,0,21,10,0,970191.3333333334,1424222.0,CALANDAIMA,TINTALA,KENNEDY
460000000.0,80.0,3.0,2.0,306000.0,1.0,ORQUIDEAS,4.0,ENTRE 10 Y 20 ANOS,4.756117,-74.038315,USADO,0,1,0,0,0,0,0,0,2,3,2,1,3,0,1,10,26,86,4,5,13,0,1,21,58,125,10,8,39,2,3,47,172,296,26,27,90,5,47,209,584,659,55,60,220,18,4647834.166666667,5870762.833333333,CHICO LAGO,CHICO NORTE,CHAPINERO
1155000000.0,213.0,3.0,3.0,741000.0,3.0,COLINA Y ALREDEDORES,5.0,ENTRE 5 Y 10 ANOS,4.7407107,-74.05495,USADO,0,1,1,1,1,0,0,0,4,0,0,0,0,0,1,4,23,10,4,1,8,2,4,13,75,115,9,7,25,5,15,50,250,313,23,24,87,9,58,165,538,802,58,63,223,24,5072545.5,6422383.75,EL REFUGIO,LA CABRERA,CHAPINERO
195000000.0,64.0,3.0,2.0,151700.0,0.0,ENGATIVA,2.0,ENTRE 5 Y 10 ANOS,4.70105,-74.1306,USADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,4,1,0,0,0,4,0,0,15,8,39,23,0,19,16,0,68,108,553,259,1,107,126,0,897631.5,1051492.5,LA URIBE,LA URIBE,USAQUEN
500000000.0,27.09,1.0,1.0,370000.0,0.0,SANTA BARBARA,5.0,ENTRE 0 Y 5 ANOS,4.685709,-74.0473,USADO,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,12,22,0,0,9,0,0,8,40,39,1,4,16,0,5,53,158,106,8,10,53,0,27,160,424,305,27,55,128,4,3396439.25,4324511.5,SANTA BARBARA,SANTA BARBARA OCCIDENTAL,USAQUEN
1050000000.0,133.0,3.0,3.0,452000.0,2.0,NIZA ALHAMBRA,5.0,ENTRE 10 Y 20 ANOS,4.706,-74.068,USADO,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,5,4,0,1,0,0,6,7,30,19,0,9,2,0,32,50,142,85,1,27,26,4,1671579.7142857143,2120855.5714285714,CASTILLA,CIUDAD TECHO II,KENNEDY
1600000000.0,223.0,3.0,3.0,2540000.0,2.0,CHICO,6.0,MAS DE 20 ANOS,4.6663933,-74.045456,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,3,1,0,1,1,0,7,40,34,2,1,19,4,14,52,206,209,35,12,103,6,2603036.8571428573,3516610.714285714,CIUDAD SALITRE ORIENTAL,CIUDAD SALITRE SUR-ORIENTAL,TEUSAQUILLO
270000000.0,59.0,3.0,2.0,265000.0,1.0,ENGATIVA,4.0,ENTRE 10 Y 20 ANOS,4.724969,-74.13522,USADO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,3,2,0,4,9,23,22,6,10,21,6,23,89,328,467,37,38,156,20,2303047.0,3004037.0,,EL REFUGIO ORIENTAL,CHAPINERO
480000000.0,67.0,1.0,2.0,493000.0,1.0,CHICO,6.0,ENTRE 0 Y 5 ANOS,4.6839623,-74.0482,USADO,0,1,0,1,0,1,0,2,9,3,1,0,3,0,2,5,41,57,5,2,17,1,4,8,111,161,11,6,24,4,19,56,267,331,23,25,92,7,61,182,573,857,59,64,237,24,5360842.4,6799966.8,EL REFUGIO,EL RETIRO,CHAPINERO
700000000.0,117.87,3.0,3.0,560000.0,1.0,CHAPINERO ALTO,4.0,MAS DE 20 ANOS,4.6509743,-74.0581,USADO,0,1,0,0,0,0,0,3,4,4,0,0,2,0,0,8,33,18,0,0,7,0,0,12,49,26,2,1,8,0,6,42,157,107,10,7,43,0,31,189,380,453,49,40,178,6,3550045.5714285714,4278709.0,SANTA BARBARA,MOLINOS NORTE,USAQUEN
